,Name,Price,Seller,Cities,Product sold,Product rating,Income
205,KERUPUK SEBLAK,6.0,Malmilty,Kab. Bogor,0,0.0,0.0
206,Krupuk seblak pedass,12.0,R~snack,Jakarta Timur,0,0.0,0.0
207,Batagor Kuah Instant Mami Jajanan khas Bandung,70.0,Seblak carla,Tangerang,30,5.0,2100.0
208,SEBLAK KERING 100gr DUA VARIAN RASA - Pedas DJ,9.0,jajanangarut19,Jakarta Selatan,100,4.5,900.0
209,seblak kerupuk bantet pedas-kerupuk bantet wana-seblak pedas-seblak,15.0,Juhalim Store,Kab. Garut,15,5.0,225.0
210,50pcs LIDAH Cuanki Batagor bahan Pelengkap Boci seblak dan cuanki,15.119,lahawelah,Kab. Garut,250,4.9,3779.75
211,"500 pcs Cuanki Lidah Kemasan Besar Topping Baso aci, seblak, cuanki",106.0,Endo Shop ID,Kab. Garut,250,4.9,26500.0
212,Seblak Baso Aci Instan,13.5,hilmandza,Kab. Tangerang,6,5.0,81.0
213,Kerupuk Seblak Pedas Mimi,18.0,Snack Zone Official,Jakarta Selatan,70,4.9,1260.0
214,BUBUK CABAI/CABE BASO ACI/BOCI/SEBLAK/CUANKI ECERAN,699.0,ArfaOnlineShop,Tangerang,250,5.0,174750.0
240,"Keripik Seblak Pedas / Snack Spicy Homemade, Cemilan, Kerupuk, Jajan",6.0,Cookies & Snack,Denpasar,0,0.0,0.0
241,JagooBdgFood Seblak Simple Pedas 100gr - Ready to Cook Siap Saji Spicy,20.9,Rak Sebelah,Jakarta Pusat,4,0.0,83.6
242,Seblak Tulang Rawan k.y.l Kylafood,16.45,kylafood,Bandung,8000,4.9,131600.0
243,CUANKI INSTAN BANDUNG,4.5,jajanangarut19,Jakarta Selatan,2000,4.9,9000.0
244,Cuanki Pangsit kering Segitiga Cipet isi 40 toping seblak baso aci,13.0,CuankiCulametan,Kab. Garut,100,4.9,1300.0
245,BOBOKO Kerupuk Seblak Kering,13.999,Kenal Jaya Bandung,Bandung,100,5.0,1399.9
246,basranger seblak extra pedas instan praktis murah halal cemilan,20.58,TOSERDA,Bandung,19,4.8,391.02
247,krupuk mentah seblak,4.5,masulah,Surabaya,0,0.0,0.0
248,kerupuk seblak kering pedas daun jeruk 250 gram,15.0,Toko Yazid Cita Rasa,Bandung,4,5.0,60.0
249,kerupuk seblak pedas daun jeruk 1 kg,37.5,hokinaCemilan,Cimahi,100,5.0,3750.0
275,cuanki tahu gepeng isi 100 pcs toping seblak bsso aci,38.999,CUANKI CULAMETAN,Kab. Garut,80,4.9,3119.92
276,cuanki siomay mini gurilem 1 ons toping seblak baso aci,3.0,CuankiCulametan,Kab. Garut,40,5.0,120.0
277,"Paket Cemilan Cup Instan Praktis (Batagor, Cuanki, Seblak Basah)",59.0,The Little Snacks,Tangerang Selatan,250,4.9,14750.0
278,Cuanki tahu atau batagor kering kiloan murah isi 150 seblak baso aci,32.5,CuankiCulametan,Kab. Garut,80,4.8,2600.0
279,Maicih Basreng,20.9,The Little Snacks,Tangerang Selatan,1000,4.8,20900.0
280,KERUPUK SEBLAK 250gr / KRUPUK SEBLAK DAUN JERUK / SEBLAK PEDAS,12.5,Dapur Sehat21,Kab. Bandung,100,4.9,1250.0
281,Kerupuk Orange / Kerupuk Seblak 250gr / Kerupuk Mentah - BawangBagus,7.5,BawangBagus,Tangerang,5,0.0,37.5
282,"Seblak kuah instan , Seblak khas garut b",5.0,iwan resistans leather 2,Kab. Garut,500,4.9,2500.0
283,Paket seblak sosis untuk 3 porsi,29.0,Tukangsayurmbakyu,Tangerang Selatan,8,5.0,232.0
284,Kerupuk jeblay kiloan 1 kg pedas Kerupuk seblak,35.0,RIKI STORE 97,Kab. Bogor,1,0.0,35.0
